,0
532,149.6
533,149.8
534,150.0
535,150.2
536,150.4
537,150.6
538,150.8
539,151.0
540,151.2
541,151.4
542,151.6
543,151.8
544,152.0
545,152.2
546,152.4
547,152.6
548,152.8
549,153.0
550,153.2
551,153.4
552,153.6
553,153.8
554,154.0
555,154.2
556,154.4
557,154.6
558,154.8
559,155.0
560,155.2
561,155.4
562,155.6
563,155.8
564,156.0
565,156.2
566,156.4
567,156.6
568,156.8
569,157.0
570,157.2
571,157.4
572,157.6
573,157.8
574,158.0
575,158.2
576,158.4
577,158.6
578,158.8
579,159.0
580,159.2
581,159.4
582,159.6
583,159.8
584,160.0
585,160.2
586,160.4
587,160.6
588,160.8
589,161.0
590,161.2
591,161.4
592,161.6
593,161.8
594,162.0
595,162.2
596,162.4
597,162.6
598,162.8
599,163.0
600,163.2
601,163.4
602,163.6
603,163.8
604,164.0
605,164.2
606,164.4
607,164.6
608,164.8
609,165.0
610,165.2
611,165.4
612,165.6
613,165.8
614,166.0
615,166.2
616,166.4
617,166.6
618,166.8
619,167.0
620,167.2
621,167.4
622,167.6
623,167.8
624,168.0
625,168.2
626,168.4
627,168.6
628,168.8
629,169.0
630,169.2
631,169.4
632,169.6
633,169.8
634,170.0
635,170.2
636,170.4
637,170.6
638,170.8
639,171.0
640,171.2
641,171.4
642,171.6
643,171.8
644,172.0
645,172.2
646,172.4
647,172.6
648,172.8
649,173.0
650,173.2
651,173.4
652,173.6
653,173.8
654,174.0
655,174.2
656,174.4
657,174.6
658,174.8
659,175.0
660,175.2
661,175.4
662,175.6
663,175.8
664,176.0
665,176.2
666,176.4
667,176.6
668,176.8
669,177.0
670,177.2
671,177.4
672,177.6
673,177.8
674,178.0
675,178.2
676,178.4
677,178.6
678,178.8
679,179.0
680,179.2
681,179.4
682,179.6
683,179.8
684,180.0
685,180.2
686,180.4
687,180.6
688,180.8
689,181.0
690,181.2
691,181.4
692,181.6
693,181.8
694,182.0
695,182.2
696,182.4
697,182.6
698,182.8
699,183.0
700,183.2
701,183.4
702,183.6
703,183.8
704,184.0
705,184.2
706,184.4
707,184.6
708,184.8
709,185.0
710,185.2
711,185.4
712,185.6
713,185.8
714,186.0
715,186.2
716,186.4
717,186.6
718,186.8
719,187.0
720,187.2
721,187.4
722,187.6
723,187.8
724,188.0
725,188.2
726,188.4
727,188.6
728,188.8
729,189.0
730,189.2
731,189.4
732,189.6
733,189.8
734,190.0
735,190.2
736,190.4
737,190.6
738,190.8
739,191.0
740,191.2
741,191.4
742,191.6
743,191.8
744,192.0
745,192.2
746,192.4
747,192.6
748,192.8
749,193.0
750,193.2
751,193.4
752,193.6
753,193.8
754,194.0
755,194.2
756,194.4
757,194.6
758,194.8
759,195.0
760,195.2
761,195.4
762,195.6
763,195.8
764,196.0
765,196.2
766,196.4
767,196.6
768,196.8
769,197.0
770,197.2
771,197.4
772,197.6
773,197.8
774,198.0
775,198.2
776,198.4
777,198.6
778,198.8
779,199.0
780,199.2
781,199.4
782,199.6
783,199.8
784,200.0
785,200.2
786,200.4
787,200.6
788,200.8
789,201.0
790,201.2
791,201.4
792,201.6
793,201.8
794,202.0
795,202.2
796,202.4
797,202.6
798,202.8
799,203.0
800,203.2
801,203.4
802,203.6
803,203.8
804,204.0
805,204.2
806,204.4
807,204.6
808,204.8
809,205.0
810,205.2
811,205.4
812,205.6
813,205.8
814,206.0
815,206.2
816,206.4
817,206.6
818,206.8
819,207.0
820,207.2
821,207.4
822,207.6
823,207.8
824,208.0
825,208.2
826,208.4
827,208.6
828,208.8
829,209.0
830,209.2
831,209.4
832,209.6
833,209.8
834,210.0
835,210.2
836,210.4
837,210.6
838,210.8
839,211.0
840,211.2
841,211.4
842,211.6
843,211.8
844,212.0
845,212.2
846,212.4
847,212.6
848,212.8
