,0
532,255.2
533,255.4
534,255.6
535,255.8
536,256.0
537,256.2
538,256.4
539,256.6
540,256.8
541,257.0
542,257.2
543,257.4
544,257.6
545,257.8
546,258.0
547,258.2
548,258.4
549,258.6
550,258.8
551,259.0
552,259.2
553,259.4
554,259.6
555,259.8
556,260.0
557,260.2
558,260.4
559,260.6
560,260.8
561,261.0
562,261.2
563,261.4
564,261.6
565,261.8
566,262.0
567,262.2
568,262.4
569,262.6
570,262.8
571,263.0
572,263.2
573,263.4
574,263.6
575,263.8
576,264.0
577,264.2
578,264.4
579,264.6
580,264.8
581,265.0
582,265.2
583,265.4
584,265.6
585,265.8
586,266.0
587,266.2
588,266.4
589,266.6
590,266.8
591,267.0
592,267.2
593,267.4
594,267.6
595,267.8
596,268.0
597,268.2
598,268.4
599,268.6
600,268.8
601,269.0
602,269.2
603,269.4
604,269.6
605,269.8
606,270.0
607,270.2
608,270.4
609,270.6
610,270.8
611,271.0
612,271.2
613,271.4
614,271.6
615,271.8
616,272.0
617,272.2
618,272.4
619,272.6
620,272.8
621,273.0
622,273.2
623,273.4
624,273.6
625,273.8
626,274.0
627,274.2
628,274.4
629,274.6
630,274.8
631,275.0
632,275.2
633,275.4
634,275.6
635,275.8
636,276.0
637,276.2
638,276.4
639,276.6
640,276.8
641,277.0
642,277.2
643,277.4
644,277.6
645,277.8
646,278.0
647,278.2
648,278.4
649,278.6
650,278.8
651,279.0
652,279.2
653,279.4
654,279.6
655,279.8
656,280.0
657,280.2
658,280.4
659,280.6
660,280.8
661,281.0
662,281.2
663,281.4
664,281.6
665,281.8
666,282.0
667,282.2
668,282.4
669,282.6
670,282.8
671,283.0
672,283.2
673,283.4
674,283.6
675,283.8
676,284.0
677,284.2
678,284.4
679,284.6
680,284.8
681,285.0
682,285.2
683,285.4
684,285.6
685,285.8
686,286.0
687,286.2
688,286.4
689,286.6
690,286.8
691,287.0
692,287.2
693,287.4
694,287.6
695,287.8
696,288.0
697,288.2
698,288.4
699,288.6
700,288.8
701,289.0
702,289.2
703,289.4
704,289.6
705,289.8
706,290.0
707,290.2
708,290.4
709,290.6
710,290.8
711,291.0
712,291.2
713,291.4
714,291.6
715,291.8
716,292.0
717,292.2
718,292.4
719,292.6
720,292.8
721,293.0
722,293.2
723,293.4
724,293.6
725,293.8
726,294.0
727,294.2
728,294.4
729,294.6
730,294.8
731,295.0
732,295.2
733,295.4
734,295.6
735,295.8
736,296.0
737,296.2
738,296.4
739,296.6
740,296.8
741,297.0
742,297.2
743,297.4
744,297.6
745,297.8
746,298.0
747,298.2
748,298.4
749,298.6
750,298.8
751,299.0
752,299.2
753,299.4
754,299.6
755,299.8
756,300.0
757,300.2
758,300.4
759,300.6
760,300.8
761,301.0
762,301.2
763,301.4
764,301.6
765,301.8
766,302.0
767,302.2
768,302.4
769,302.6
770,302.8
771,303.0
772,303.2
773,303.4
774,303.6
775,303.8
776,304.0
777,304.2
778,304.4
779,304.6
780,304.8
781,305.0
782,305.2
783,305.4
784,305.6
785,305.8
786,306.0
787,306.2
788,306.4
789,306.6
790,306.8
791,307.0
792,307.2
793,307.4
794,307.6
795,307.8
796,308.0
797,308.2
798,308.4
799,308.6
800,308.8
801,309.0
802,309.2
803,309.4
804,309.6
805,309.8
806,310.0
807,310.2
808,310.4
809,310.6
810,310.8
811,311.0
812,311.2
813,311.4
814,311.6
815,311.8
816,312.0
817,312.2
818,312.4
819,312.6
820,312.8
821,313.0
822,313.2
823,313.4
824,313.6
825,313.8
826,314.0
827,314.2
828,314.4
829,314.6
830,314.8
831,315.0
832,315.2
833,315.4
834,315.6
835,315.8
836,316.0
837,316.2
838,316.4
839,316.6
840,316.8
841,317.0
842,317.2
843,317.4
844,317.6
845,317.8
846,318.0
847,318.2
848,318.4
849,318.6
850,318.8
851,319.0
852,319.2
853,319.4
854,319.6
855,319.8
856,320.0
857,320.2
858,320.4
859,320.6
860,320.8
861,321.0
862,321.2
863,321.4
864,321.6
865,321.8
866,322.0
867,322.2
868,322.4
869,322.6
870,322.8
871,323.0
872,323.2
873,323.4
874,323.6
875,323.8
876,324.0
877,324.2
878,324.4
879,324.6
880,324.8
881,325.0
882,325.2
883,325.4
884,325.6
885,325.8
886,326.0
887,326.2
888,326.4
889,326.6
890,326.8
891,327.0
892,327.2
893,327.4
894,327.6
895,327.8
896,328.0
897,328.2
898,328.4
899,328.6
900,328.8
901,329.0
902,329.2
903,329.4
904,329.6
905,329.8
906,330.0
907,330.2
908,330.4
909,330.6
910,330.8
911,331.0
912,331.2
913,331.4
914,331.6
915,331.8
916,332.0
917,332.2
918,332.4
919,332.6
920,332.8
921,333.0
922,333.2
923,333.4
924,333.6
925,333.8
926,334.0
927,334.2
928,334.4
929,334.6
930,334.8
931,335.0
932,335.2
933,335.4
934,335.6
935,335.8
936,336.0
937,336.2
938,336.4
939,336.6
940,336.8
941,337.0
942,337.2
943,337.4
944,337.6
945,337.8
946,338.0
947,338.2
948,338.4
949,338.6
950,338.8
951,339.0
952,339.2
953,339.4
954,339.6
955,339.8
956,340.0
957,340.2
958,340.4
959,340.6
960,340.8
961,341.0
962,341.2
963,341.4
964,341.6
965,341.8
966,342.0
967,342.2
968,342.4
969,342.6
970,342.8
971,343.0
972,343.2
973,343.4
974,343.6
975,343.8
976,344.0
977,344.2
978,344.4
979,344.6
980,344.8
981,345.0
982,345.2
983,345.4
984,345.6
985,345.8
986,346.0
987,346.2
988,346.4
989,346.6
990,346.8
991,347.0
992,347.2
993,347.4
994,347.6
995,347.8
996,348.0
997,348.2
998,348.4
999,348.6
1000,348.8
1001,349.0
1002,349.2
1003,349.4
1004,349.6
1005,349.8
1006,350.0
1007,350.2
1008,350.4
1009,350.6
1010,350.8
1011,351.0
1012,351.2
1013,351.4
1014,351.6
1015,351.8
1016,352.0
1017,352.2
1018,352.4
1019,352.6
1020,352.8
1021,353.0
1022,353.2
1023,353.4
1024,353.6
1025,353.8
1026,354.0
1027,354.2
1028,354.4
1029,354.6
1030,354.8
1031,355.0
1032,355.2
1033,355.4
1034,355.6
1035,355.8
1036,356.0
1037,356.2
1038,356.4
1039,356.6
1040,356.8
1041,357.0
1042,357.2
1043,357.4
1044,357.6
1045,357.8
1046,358.0
1047,358.2
1048,358.4
1049,358.6
1050,358.8
1051,359.0
1052,359.2
1053,359.4
1054,359.6
1055,359.8
1056,0.0
1057,0.2
1058,0.4
1059,0.6
1060,0.8
1061,1.0
1062,1.2
1063,1.4
1064,1.6
1065,1.8
1066,2.0
1067,2.2
1068,2.4
1069,2.6
1070,2.8
1071,3.0
1072,3.2
1073,3.4
1074,3.6
1075,3.8
1076,4.0
1077,4.2
1078,4.4
1079,4.6
1080,4.8
1081,5.0
1082,5.2
1083,5.4
1084,5.6
1085,5.8
1086,6.0
1087,6.2
1088,6.4
1089,6.6
1090,6.8
1091,7.0
1092,7.2
1093,7.4
1094,7.6
1095,7.8
1096,8.0
1097,8.2
1098,8.4
1099,8.6
1100,8.8
1101,9.0
1102,9.2
1103,9.4
1104,9.6
1105,9.8
1106,10.0
1107,10.2
1108,10.4
1109,10.6
1110,10.8
1111,11.0
1112,11.2
1113,11.4
1114,11.6
1115,11.8
1116,12.0
1117,12.2
1118,12.4
1119,12.6
1120,12.8
1121,13.0
1122,13.2
1123,13.4
1124,13.6
1125,13.8
1126,14.0
1127,14.2
1128,14.4
1129,14.6
1130,14.8
1131,15.0
1132,15.2
1133,15.4
1134,15.6
1135,15.8
1136,16.0
1137,16.2
1138,16.4
1139,16.6
1140,16.8
1141,17.0
1142,17.2
1143,17.4
1144,17.6
1145,17.8
1146,18.0
1147,18.2
1148,18.4
1149,18.6
1150,18.8
1151,19.0
1152,19.2
1153,19.4
1154,19.6
1155,19.8
1156,20.0
1157,20.2
1158,20.4
1159,20.6
1160,20.8
1161,21.0
1162,21.2
1163,21.4
1164,21.6
1165,21.8
1166,22.0
1167,22.2
1168,22.4
1169,22.6
1170,22.8
1171,23.0
1172,23.2
1173,23.4
1174,23.6
1175,23.8
1176,24.0
1177,24.2
1178,24.4
1179,24.6
1180,24.8
1181,25.0
1182,25.2
1183,25.4
1184,25.6
1185,25.8
1186,26.0
1187,26.2
1188,26.4
1189,26.6
1190,26.8
1191,27.0
1192,27.2
1193,27.4
1194,27.6
1195,27.8
1196,28.0
1197,28.2
1198,28.4
1199,28.6
1200,28.8
1201,29.0
1202,29.2
1203,29.4
1204,29.6
1205,29.8
1206,30.0
1207,30.2
1208,30.4
1209,30.6
1210,30.8
1211,31.0
1212,31.2
1213,31.4
1214,31.6
1215,31.8
1216,32.0
1217,32.2
1218,32.4
1219,32.6
1220,32.8
1221,33.0
1222,33.2
1223,33.4
1224,33.6
1225,33.8
1226,34.0
1227,34.2
1228,34.4
1229,34.6
1230,34.8
1231,35.0
1232,35.2
1233,35.4
1234,35.6
1235,35.8
1236,36.0
1237,36.2
1238,36.4
1239,36.6
1240,36.8
1241,37.0
1242,37.2
1243,37.4
1244,37.6
1245,37.8
1246,38.0
1247,38.2
1248,38.4
1249,38.6
1250,38.8
1251,39.0
1252,39.2
1253,39.4
1254,39.6
1255,39.8
1256,40.0
1257,40.2
1258,40.4
1259,40.6
1260,40.8
1261,41.0
1262,41.2
1263,41.4
1264,41.6
1265,41.8
1266,42.0
